name,episodes,rating
Full Metal Panic! IV,24,7.68
Shingeki no Bahamut: Manaria Friends,10,6.66
FLCL (TV),6,8.03
Zero kara Hajimeru Mahou no Sho,12,7.13
Hand Shakers,12,5.44
Berserk (2017),12,6.5
Eromanga-sensei,12,6.62
ChÃ¤oS;Child,12,6.64
Kuzu no Honkai,12,7.4
Little Witch Academia (TV),25,7.98
Free! (Shinsaku),12,7.44
Fuuka,12,6.59
Mekakucity Reload,12,Unknown
Kekkai Sensen &amp; Beyond,12,7.94
Yowamushi Pedal: New Generation,25,7.73
Fate/Extra Last Encore,10,6.34
Kantai Collection: KanColle Zoku-hen,12,Unknown
Masamune-kun no Revenge,12,6.9
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,12,7.08
K: Seven Stories,1,7.36
Violet Evergarden,13,8.62
Saenai Heroine no Sodatekata â™­,12,7.57
Super Lovers 2,10,7.44
Ao no Exorcist: Kyoto Fujouou-hen,12,7.52
Kono Subarashii Sekai ni Shukufuku wo! 2,10,8.33
Boku no Hero Academia 2nd Season,25,8.49
Code Geass: Fukkatsu no Lelouch,1,8.03
Shingeki no Kyojin Season 2,12,8.39
Steins;Gate 0,23,8.52
One Punch Man 2,12,7.43
Gintama (2017),12,8.98
Yurugaro,23,5.55
Yowamushi Monsters,Unknown,6.33
YanYan Machiko Specials,5,3.75
Xi Yang Yang Yu Hui Tai Lang,Unknown,5.87
Wu Geng Ji,30,7.53
"Watashitachi, Luck Logic-bu! 2",12,5.63
Washimo 4th Season,44,5.6
Toshi Souzou Gakubu Shoukai,2,5.92
Tomodachi 8-nin,398,5.42
Telemonster,52,8.5
Tama &amp; Friends: Uchi no Tama Shirimasenka?,36,6.64
Spoon-hime no Swing Kitchen,34,9.6
Show By Rock!! x Joysound,4,5.61
Shiritsu Liyon Gakuen,17,5.75
Shimajirou no Wow!,421,6.5
Shima Kousaku no Asia Shinseki-den,30,7
Shiawase Haitatsu Taneko,1,6.5
Shi Wan Ge Leng Xiaohua Di 3rd Season,49,7.08
Qin Shiming Yue Zhi: Junlin Tianxia,75,7.02
Ponkotsu Quest: Maou to Haken no Mamono-tachi,24,3
Pittanko! Nekozakana,50,5.67
Pic-lele,12,6.33
PePePePengiin,13,7.24
Panpaka Pants W-O-New!,26,4.5
Panpaka Pants,27,4.17
Paniponi,26,7.47
Panda no Taputapu,431,6.55
Ousama Monogatari,10,5.6
Ongaku Sekai Ryokou,4,2.67
Ohayou! Kokekkou-san,50,2.75
Nyanpuku Nyaruma,3,4
Nyanfuru,124,5.54
Nukko.,24,6.4
Norasco,60,4.75
Neko no Dayan: Fushigi Gekijou,30,4.25
Neko Neko Nihonshi,32,6.25
Neko Konogoro,15,2.8
Nazotoki-hime wa Meitanteiâ™¥,6,5.62
Nanocore 2nd Season,10,5.33
Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,8,Unknown
Nameko: Sekai no Tomodachi,26,5.6
Muzumuzu Eighteen,20,3.8
Mori no Ratio,11,5
Mori no Ongakudan,13,4.92
Mo Jing Lieren 3rd Season,29,7.25
Mim Mam Mint,4,4.1
Mameshiba Gakuen,8,5.13
Ma Shen,16,6
Luo Xiao Hei Zhan Ji,1,7.4
Life!,Unknown,5.25
Lan Mao,3057,6.04
Kyoufu! Zombie Neko,52,5.71
Kurokan,33,6.64
Konna Ko Iru kana,Unknown,4
Koishite!! Namashi-chan,Unknown,6.4
Kimoshiba,13,7
Keshikasu-kun,25,4.63
Kayoe! Chuugaku,425,6.77
Kareshi wa Hammerhead Shark,91,3.78
Karasu no Puuta,2,8
Kana Kana Kazoku,56,5.11
Kamiwaza Wanda,47,5.29
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Unknown,6.25
Kamiusagi Rope x au Collaboration,6,5.2
Kamiusagi Rope (ONA),2,6
Kamigami no Ki,17,4.33
Kakuchou Shoujo-Kei Trinary,34,6.15
Kaette Kite yoo Toyama kara,4,4.17
Kabi Usagi,3,6.4
Jinxiu Shenzhou Zhi Qi You Ji,26,4.67
Jewelpet: Attack Chance!?,3,5.83
Jakusansei Million Arthur,1,5.69
Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015),1,6
Isobe Isobee Monogatari: Ukiyo wa Tsurai yo,5,5.58
Inui-san!,5,5.2
Historical,1,5.58
Himitsukessha Taka no Tsume GT,47,5.14
Himitsukessha Taka no Tsume DO,38,6.2
Happy Jozy,52,8.2
Hanakappa,579,5.42
Gra-P &amp; Rodeo 2nd Season,12,8.04
Gohan Kaijuu Pap,29,4.25
Gogulyeoui Jeolm-eun Musadeul,7,4.75
GJ8 Man,61,5
Fuusen Inu Tinny 2nd Season,26,3.75
Fushigina Ano Ko wa Sutekina Kono Ko,154,4
Funassyi to Yukaina Kyoudai,4,4.8
Elite Jack!!,6,5.29
Elite Banana Banao,9,6.29
Eddie the Fast Break,7,6.11
Duel Masters VSRF,51,5.13
Double Hard,26,6.53
Dochamon Junior 2,16,6
Deko Boko Friends,61,7.14
Dead World,1,3.62
Dalam-iwa Goseumdochi,32,6.47
Cakes,1,2.58
Burutabu-chan,3,5
Bary-san no Imabari-ben Kouza,47,4.79
Baki,26,7.23
Asa da yo! Kaishain,744,4.33
AOTU Shijie,32,6
Animegatari,12,6.46
Anime Douyou,30,5.75
Animax Taisou,30,4.67
Alps no Shoujo Heidi? Chara Onji,52,7.28
Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,1,5.4
MILPOMâ˜…,6,5.28
Ao Oni The Animation,1,4.32
Bishoujo Yuugi Unit Crane Game Girls Galaxy,12,4.84
Heybot!,50,5.9
Time Bokan 24,24,5.88
YanYan Machiko,11,5.92
Shounen Ashibe: Go! Go! Goma-chan,32,5.72
Puzzle &amp; Dragons Cross,89,6.57
Sushi Ninja,3,5.88
Masamune Datenicle,6,6.04
Bonobono (2016),10,7.41
Kamisama Minarai: Himitsu no Cocotama,139,6.09
Choujuu Giga,3,6.13
Beyblade Burst,51,6.37
Sazae-san,2543,5.54
Rilu Rilu Fairilu: Yousei no Door,59,6.67
Knyacki!,45,6.38
Future Card Buddyfight DDD,64,6.86
Digimon Universe: Appli Monsters,52,6.68
Tiger Mask W,38,7
Battle Spirits: Double Drive,51,5.85
Ojarumaru,1788,6.48
Chi&#039;s Sweet Home (2016),208,6.57
Sore Ike! Anpanman,1451,6.61
Disney Tsum Tsum,36,6.21
Nobunaga no Shinobi,26,7.09
Youkai Watch,214,6.7
Furusato Saisei: Nihon no Mukashibanashi,258,6.97
Domo-kun,37,6.36
Kaitou Joker 4th Season,13,7.35
Nobunaga no Shinobi,26,7.09
Youkai Watch,214,6.7
Furusato Saisei: Nihon no Mukashibanashi,258,6.97
PriPara,140,7.49
Cardfight!! Vanguard G: Next,52,6.66
Aikatsu Stars!,100,7.57
Nintama Rantarou,2087,7.18
Pokemon Sun &amp; Moon,146,6.99
Inazuma Eleven: Outer Code,6,6.86
Gudetama,601,7.36
Chibi Maruko-chan (1995),1286,7.22
Aggressive Retsuko,10,7.74
Dragon Ball Super,131,7.5
Dimension W: W no Tobira Online,5,5.69
Doraemon (2005),618,7.59
Yuâ˜†Giâ˜†Oh! Arc-V,148,6.88
Tanaka-kun wa Itsumo Kedaruge Specials,7,7.41
Crayon Shin-chan,1157,7.04
Naruto: Shippuuden,500,8.15
Detective Conan,1102,8.18
